Timestamp: 586513330.281881	 X: 845.368028927997 Y:387.997763168509
Timestamp: 586513340.52747	 X: 841.462550042413 Y:380.597944682356
Timestamp: 586513350.738572	 X: 841.006510285401 Y:381.940775574821
Timestamp: 586513364.179441	 X: 841.262835197772 Y:382.018939460689
Timestamp: 586513374.953814	 X: 842.478247749525 Y:385.558879832942
Timestamp: 586513385.027794	 X: 843.919596754709 Y:387.609956142578
Timestamp: 586513396.939379	 X: 845.698296504675 Y:388.420597997683
Timestamp: 586513407.985122	 X: 849.026718209577 Y:389.918822914389
Timestamp: 586513418.261501	 X: 850.528961565618 Y:390.232498529029
Timestamp: 586513430.111915	 X: 848.332695840688 Y:391.940458302147
Timestamp: 586513441.554656	 X: 851.804128772089 Y:392.025820439374
Timestamp: 586513451.726757	 X: 841.697413104312 Y:387.969765395769
Timestamp: 586513463.807897	 X: 834.03091374288 Y:383.617364094463
Timestamp: 586513475.619309	 X: 812.561005653181 Y:370.058870365159
Timestamp: 586513485.740502	 X: 743.03228920782 Y:335.023195296699
Timestamp: 586513497.281364	 X: 558.232762116625 Y:267.993415321258
Timestamp: 586513508.399363	 X: 529.986078843429 Y:258.413012790855
Timestamp: 586513518.86213	 X: 504.214145474495 Y:249.954998617988
Timestamp: 586513530.297892	 X: 481.035837247533 Y:242.061148090489
Timestamp: 586513541.966434	 X: 436.769224115297 Y:227.110482464859
Timestamp: 586513552.414832	 X: 372.82987335728 Y:206.547201254209
Timestamp: 586513563.96021	 X: 367.337296883359 Y:205.015591447473
Timestamp: 586513575.173456	 X: 355.927029003627 Y:205.558773148356
Timestamp: 586513586.064423	 X: 353.083741064124 Y:205.501504862139
Timestamp: 586513597.271921	 X: 352.194076047202 Y:205.06227041835
Timestamp: 586513608.549623	 X: 351.527454495249 Y:205.57162033331
Timestamp: 586513618.837498	 X: 350.719578730375 Y:205.271526670019
Timestamp: 586513630.170623	 X: 349.548657631919 Y:203.507741107982
Timestamp: 586513641.592426	 X: 347.63763959307 Y:202.763689682255
Timestamp: 586513652.442749	 X: 346.618221140324 Y:202.51000864085
Timestamp: 586513663.650658	 X: 345.892549008705 Y:201.687815161249
Timestamp: 586513675.089294	 X: 344.058792881899 Y:199.802405647909
Timestamp: 586513685.663319	 X: 340.633673004448 Y:195.344830682541
Timestamp: 586513696.488599	 X: 339.192135062174 Y:194.996960772549
Timestamp: 586513708.415785	 X: 310.714241293424 Y:183.233247099592
Timestamp: 586513719.000484	 X: 303.353461902231 Y:180.268659219744
Timestamp: 586513730.131211	 X: 270.347667890176 Y:175.607684946091
Timestamp: 586513742.044027	 X: 262.643216517423 Y:174.250921111794
Timestamp: 586513752.457529	 X: 252.900821022593 Y:173.090754561496
Timestamp: 586513763.335359	 X: 243.797723004256 Y:171.683274369708
Timestamp: 586513775.047829	 X: 235.821091149586 Y:170.43268870602
Timestamp: 586513785.765545	 X: 217.652798165406 Y:168.491751645816
Timestamp: 586513796.464377	 X: 173.556751477075 Y:162.671533571498
Timestamp: 586513808.00606	 X: 171.995298538894 Y:161.745591153003
Timestamp: 586513818.814096	 X: 174.992664881728 Y:156.864776273301
Timestamp: 586513829.919779	 X: 176.541780063561 Y:156.022260206698
Timestamp: 586513841.77553	 X: 176.359654404343 Y:153.751393921135
Timestamp: 586513852.163988	 X: 176.151685099366 Y:151.252594275559
Timestamp: 586513863.098474	 X: 175.289992751512 Y:149.664498170852
Timestamp: 586513875.494092	 X: 175.332453622631 Y:148.984911615367
Timestamp: 586513885.742965	 X: 175.265707578796 Y:147.874824617057
Timestamp: 586513896.47423	 X: 175.39639139913 Y:146.899622418982
Timestamp: 586513908.70522	 X: 175.865243681776 Y:149.313063741503
Timestamp: 586513918.936439	 X: 175.733544168034 Y:148.580298274873
Timestamp: 586513929.910337	 X: 176.046084142142 Y:151.128521048561
Timestamp: 586513942.015289	 X: 176.591888016785 Y:149.325122610428
Timestamp: 586513952.249382	 X: 176.738376041671 Y:148.094850336294
Timestamp: 586513963.179762	 X: 176.873551261963 Y:146.750261726451
Timestamp: 586513975.081083	 X: 175.109855095097 Y:140.518355668304
Timestamp: 586513985.623907	 X: 174.85480364264 Y:139.434547018908
Timestamp: 586513996.182742	 X: 173.522225823165 Y:135.582631742964
Timestamp: 586514008.405932	 X: 173.43341727954 Y:133.798506232412
